category	item	year	host	where	detail
examination	Biotechnology Entrance Test (BET)	2020	DBT	India	Category-II
examination	Graduate Aptitude Test for Engineering	2020	MHRD	India	Paper: Life Science (XL); AIR-292; Score-619
examination	Combined Entrance Examination for Biotechnology(CEEB)	2017	JNU	India	AIR-293
examination	Joint Admission Test for M.Sc (JAM)	2017	MHRD	India	
scholarship	Scholarship	2017-2019	DBT	India	Scholarship for pursuing M.Sc
